u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width,NO2_ugm3,NO_ugm3,CO2_mgm3,CO_mgm3,O3_ugm3,PM25_ugm3
389279,26868380,0,913681361,True,2,Parliament Street,tertiary,30,False,43.292,,"LINESTRING (-6.26763 53.3453317, -6.2675057 53.3449495)",,,,,,,,15.0454,36.84392424242425,810.2506666666667,0.3796333333333334,42.12656666666666,6.9760333333333335
389279,1396858852,0,"[125863788, 292236197]",True,2,Essex Quay,secondary,"['30', '50']",False,158.183,R148,"LINESTRING (-6.26763 53.3453317, -6.2689481 53.3452274, -6.2699886 53.3451298)",,,,,,,,39.71436666666667,19.336441414141415,844.4000388888888,0.4073611111111111,43.282561111111114,6.753783333333334
389280,434149497,0,4396059,False,3,Dame Street,secondary,30,False,16.052,R137,"LINESTRING (-6.2672337 53.3441129, -6.2669948 53.3441352)",,,,,,,,41.334,78.99,839.864,0.44,38.241,8.708
389280,26912398,0,16247623,False,2,Cork Hill,secondary,30,True,28.043,R137,"LINESTRING (-6.2672337 53.3441129, -6.267646 53.344058)",,,,,,,,34.807,46.586,837.458,0.434,38.467,7.653
389281,135109553,0,14039949,True,,York Street,unclassified,30,False,33.799,,"LINESTRING (-6.2658639 53.3395894, -6.2657387 53.3395639, -6.265382 53.3394914)",,,,,,,,11.409666666666666,35.82371428571429,805.0500000000001,0.3486666666666667,48.177,3.876333333333333
389281,2996413692,0,532427444,False,3,Aungier Street,secondary,30,False,31.899,R114,"LINESTRING (-6.2658639 53.3395894, -6.2658319 53.3397359, -6.2657997 53.3398737)",,,,,,,,22.7782,17.8696,829.3776000000001,0.40219999999999995,42.92780000000001,6.081599999999999
389281,135109574,0,532427444,False,3,Aungier Street,secondary,30,True,48.415,R114,"LINESTRING (-6.2658639 53.3395894, -6.2659077 53.3393903, -6.2659588 53.3391577)",,,,,,,,22.7782,17.8696,829.3776000000001,0.40219999999999995,42.92780000000001,6.081599999999999
389292,336173796,0,506780985,True,4,Beresford Place,secondary,50,False,18.649,R105,"LINESTRING (-6.2549447 53.3482797, -6.2549459 53.3483396, -6.2549481 53.3484474)",,,,,,,,25.643999999999995,24.950333333333333,843.574,0.46900000000000003,38.685,7.741
389292,707154499,0,909735856,True,2,Custom House Quay,secondary,50,False,50.878,R801,"LINESTRING (-6.2549447 53.3482797, -6.2547718 53.3482935, -6.2547314 53.3482967, -6.2541802 53.3482904)",,,,,,,,27.804499999999997,26.901764583333332,840.9858125000001,0.45464999999999994,42.8668,7.9976
389302,389303,0,20848455,False,4,Patrick Street,secondary,50,True,95.142,R137,"LINESTRING (-6.2722556 53.3401961, -6.2722642 53.3401028, -6.2723011 53.3399713, -6.2723321 53.3398971, -6.2723944 53.339806, -6.2725123 53.3395735, -6.2725703 53.3393653)",,,,,,,,28.642,27.2385,818.2719999999999,0.425,41.520500000000006,7.3785
389302,1420459909,0,"[143866321, 632039346, 369977730]",True,"['2', '4']",Patrick Street,secondary,50,False,86.019,R137,"LINESTRING (-6.2722556 53.3401961, -6.2722723 53.3402884, -6.2722839 53.3403522, -6.2722981 53.3404237, -6.2723045 53.3404558, -6.2723189 53.3405085, -6.272342 53.3405885, -6.2723543 53.3406311, -6.2723857 53.3408233, -6.2723813 53.3409646)",,,,,,,,22.501126666666668,26.076666999999997,817.1831733333332,0.4346933333333333,45.12152,6.648506666666667
389303,2374841982,0,52881221,False,4,Patrick Street,secondary,50,False,7.43,R137,"LINESTRING (-6.2725703 53.3393653, -6.2725898 53.3392995)",,,,,,,,35.326,41.827,824.032,0.438,38.462,8.332
389303,389302,0,20848455,False,4,Patrick Street,secondary,50,False,95.142,R137,"LINESTRING (-6.2725703 53.3393653, -6.2725123 53.3395735, -6.2723944 53.339806, -6.2723321 53.3398971, -6.2723011 53.3399713, -6.2722642 53.3401028, -6.2722556 53.3401961)",,,,,,,,28.642,27.2385,818.2719999999999,0.425,41.520500000000006,7.3785
389303,32176232,0,"[369977732, 4915298, 1085870564]",True,,St. Patrick's Close,unclassified,30,False,199.75,,"LINESTRING (-6.2725703 53.3393653, -6.2721844 53.339308, -6.272 53.3392807, -6.2716832 53.339232, -6.271543 53.3392061, -6.2712078 53.3391341, -6.2711846 53.3391284, -6.2709118 53.3390612, -6.2708231 53.3390174, -6.2707487 53.3389595, -6.2707067 53.3388947, -6.2706852 53.3388447, -6.2706755 53.3387931, -6.2706669 53.3384337, -6.2707238 53.3383563)",destination,,,,,,,28.63986888888889,22.009964444444446,825.2762177777778,0.4047111111111111,40.933571111111114,7.258542222222222
389304,2374841813,0,4915293,False,3,Kevin Street Upper,secondary,50,False,14.921,R110,"LINESTRING (-6.2726872 53.3389329, -6.2725064 53.3388532)",,,,,,,,37.64,73.293,858.027,0.442,33.578,8.693
389304,2374841982,0,228818584,True,2,Patrick Street,secondary,50,False,41.274,R137,"LINESTRING (-6.2726872 53.3389329, -6.2726536 53.3390592, -6.2725898 53.3392995)",,,,,,,,41.007,60.488,842.618,0.455,39.489,7.459
389304,2374841884,0,"[906237420, 43034941]",False,3,Dean Street,secondary,50,True,38.913,R110,"LINESTRING (-6.2726872 53.3389329, -6.2727737 53.3389632, -6.2728285 53.3389771, -6.273221 53.3390764)",,,,,,,,34.122519999999994,49.73201,837.42192,0.43168,38.284040000000005,7.71228
389309,2396578262,0,3791033,True,1,Merrion Street Lower,secondary,30,False,22.247,R815,"LINESTRING (-6.2503406 53.3419272, -6.2502996 53.341871, -6.2502661 53.3418237, -6.250258 53.3417829, -6.2502608 53.3417366)",,,,,,,,24.116,3.079,836.78,0.383,37.297,5.58
389309,2396578283,0,4925986,True,1,Fenian Street,secondary,30,False,31.749,R815,"LINESTRING (-6.2503406 53.3419272, -6.2502675 53.3419158, -6.2501938 53.3419034, -6.2500429 53.3418762, -6.2498914 53.3418322)",,,,,,,,22.338,1.088,827.424,0.42400000000000004,39.794,6.221
389314,5355630055,0,4287410,True,2,Townsend Street,tertiary,30,False,23.447,,"LINESTRING (-6.2573464 53.3459015, -6.2571484 53.3458974, -6.2570256 53.3458976, -6.2569933 53.3458974)",,,,,,,,34.037,24.337000000000003,827.942,0.375,21.368,8.932
389314,3451328715,0,24953717,True,3,College Street,secondary,30,False,40.755,R138,"LINESTRING (-6.2573464 53.3459015, -6.2572963 53.3458532, -6.2572785 53.3458214, -6.2572721 53.3457912, -6.257284 53.3457487, -6.2573108 53.3457101, -6.2573757 53.3456588, -6.257516 53.3456107)",,,,,,,,34.14,4.336,823.053,0.376,26.918,6.686
389332,2376143186,0,4919462,True,2,Trinity Street,unclassified,30,False,36.962,,"LINESTRING (-6.2624409 53.344246, -6.2624121 53.344031, -6.262292 53.3439389)",,,,,,,,26.5535,5.724999999999999,819.2135000000002,0.427,37.2375,6.8415
389332,550879544,0,304634278,False,4,College Green,secondary,30,False,39.69199999999999,R137,"LINESTRING (-6.2624409 53.344246, -6.2624127 53.3442478, -6.2621664 53.3442638, -6.2618465 53.3442846)",,,,,,,,35.807,18.132,823.909,0.455,33.542,6.993
389332,26911837,0,1032401626,False,4,Dame Street,secondary,30,True,59.777,R137,"LINESTRING (-6.2624409 53.344246, -6.2626055 53.34424, -6.2633394 53.3442105)",,,,,,,,37.736266666666666,33.040533333333336,833.9836666666666,0.46046666666666664,35.0456,8.0146
389339,5112203424,0,"[937860532, 2294310]",True,1,Dawson Street,secondary,30,False,50.939,R138,"LINESTRING (-6.25867 53.3394661, -6.2587172 53.3394897, -6.2587387 53.3395101, -6.2587585 53.3395376, -6.2587653 53.3395685, -6.2587645 53.3395786, -6.258761 53.3396145, -6.2586759 53.3399001)",,,,,,,,22.13460625,12.552079464285713,838.96326875,0.3857416666666666,45.1632875,7.383589583333333
389339,2893792091,0,"[4476051, 352376956]",True,2,St. Stephen's Green,unclassified,30,False,142.019,,"LINESTRING (-6.25867 53.3394661, -6.2587261 53.3394762, -6.2587912 53.3394882, -6.258901 53.3395092, -6.2589043 53.3395098, -6.2589844 53.3395239, -6.2603524 53.3398761, -6.2604318 53.3398941, -6.2605092 53.3399062, -6.2605879 53.3399098, -6.2606639 53.3399045)",,,,,,,,16.493554545454547,17.69124675324675,862.6571575757575,0.42236363636363633,64.22016969696969,7.182696969696969
389344,26165089,0,10577342,False,,St. Stephen's Green,cycleway,30,True,50.684,,"LINESTRING (-6.2614665 53.339099, -6.2614683 53.3390417, -6.2616427 53.3388291, -6.2617218 53.3387351, -6.2617923 53.3386973)",,10,,,,,,9.470234999999999,26.46521142857143,830.27008,0.38242,63.800929999999994,5.44201
