u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width
389279,26868380,0,913681361,True,2,Parliament Street,tertiary,30,False,43.292,,"LINESTRING (-6.26763 53.3453317, -6.2675057 53.3449495)",,,,,,,
389279,1396858852,0,"[125863788, 292236197]",True,2,Essex Quay,secondary,"['30', '50']",False,158.183,R148,"LINESTRING (-6.26763 53.3453317, -6.2689481 53.3452274, -6.2699886 53.3451298)",,,,,,,
389280,434149497,0,4396059,False,3,Dame Street,secondary,30,False,16.052,R137,"LINESTRING (-6.2672337 53.3441129, -6.2669948 53.3441352)",,,,,,,
389280,26912398,0,16247623,False,2,Cork Hill,secondary,30,True,28.043,R137,"LINESTRING (-6.2672337 53.3441129, -6.267646 53.344058)",,,,,,,
389281,135109553,0,14039949,True,,York Street,unclassified,30,False,33.799,,"LINESTRING (-6.2658639 53.3395894, -6.2657387 53.3395639, -6.265382 53.3394914)",,,,,,,
389281,2996413692,0,532427444,False,3,Aungier Street,secondary,30,False,31.899,R114,"LINESTRING (-6.2658639 53.3395894, -6.2658319 53.3397359, -6.2657997 53.3398737)",,,,,,,
389281,135109574,0,532427444,False,3,Aungier Street,secondary,30,True,48.415,R114,"LINESTRING (-6.2658639 53.3395894, -6.2659077 53.3393903, -6.2659588 53.3391577)",,,,,,,
389292,336173796,0,506780985,True,4,Beresford Place,secondary,50,False,18.649,R105,"LINESTRING (-6.2549447 53.3482797, -6.2549459 53.3483396, -6.2549481 53.3484474)",,,,,,,
389292,707154499,0,909735856,True,2,Custom House Quay,secondary,50,False,50.878,R801,"LINESTRING (-6.2549447 53.3482797, -6.2547718 53.3482935, -6.2547314 53.3482967, -6.2541802 53.3482904)",,,,,,,
389302,389303,0,20848455,False,4,Patrick Street,secondary,50,True,95.142,R137,"LINESTRING (-6.2722556 53.3401961, -6.2722642 53.3401028, -6.2723011 53.3399713, -6.2723321 53.3398971, -6.2723944 53.339806, -6.2725123 53.3395735, -6.2725703 53.3393653)",,,,,,,
389302,1420459909,0,"[143866321, 632039346, 369977730]",True,"['2', '4']",Patrick Street,secondary,50,False,86.019,R137,"LINESTRING (-6.2722556 53.3401961, -6.2722723 53.3402884, -6.2722839 53.3403522, -6.2722981 53.3404237, -6.2723045 53.3404558, -6.2723189 53.3405085, -6.272342 53.3405885, -6.2723543 53.3406311, -6.2723857 53.3408233, -6.2723813 53.3409646)",,,,,,,
389303,2374841982,0,52881221,False,4,Patrick Street,secondary,50,False,7.43,R137,"LINESTRING (-6.2725703 53.3393653, -6.2725898 53.3392995)",,,,,,,
389303,389302,0,20848455,False,4,Patrick Street,secondary,50,False,95.14200000000001,R137,"LINESTRING (-6.2725703 53.3393653, -6.2725123 53.3395735, -6.2723944 53.339806, -6.2723321 53.3398971, -6.2723011 53.3399713, -6.2722642 53.3401028, -6.2722556 53.3401961)",,,,,,,
389303,32176232,0,"[369977732, 4915298, 1085870564]",True,,St. Patrick's Close,unclassified,30,False,199.75,,"LINESTRING (-6.2725703 53.3393653, -6.2721844 53.339308, -6.272 53.3392807, -6.2716832 53.339232, -6.271543 53.3392061, -6.2712078 53.3391341, -6.2711846 53.3391284, -6.2709118 53.3390612, -6.2708231 53.3390174, -6.2707487 53.3389595, -6.2707067 53.3388947, -6.2706852 53.3388447, -6.2706755 53.3387931, -6.2706669 53.3384337, -6.2707238 53.3383563)",destination,,,,,,
389304,2374841813,0,4915293,False,3,Kevin Street Upper,secondary,50,False,14.921,R110,"LINESTRING (-6.2726872 53.3389329, -6.2725064 53.3388532)",,,,,,,
389304,2374841982,0,228818584,True,2,Patrick Street,secondary,50,False,41.274,R137,"LINESTRING (-6.2726872 53.3389329, -6.2726536 53.3390592, -6.2725898 53.3392995)",,,,,,,
389304,2374841884,0,"[906237420, 43034941]",False,3,Dean Street,secondary,50,True,38.913,R110,"LINESTRING (-6.2726872 53.3389329, -6.2727737 53.3389632, -6.2728285 53.3389771, -6.273221 53.3390764)",,,,,,,
389309,2396578262,0,3791033,True,1,Merrion Street Lower,secondary,30,False,22.247,R815,"LINESTRING (-6.2503406 53.3419272, -6.2502996 53.341871, -6.2502661 53.3418237, -6.250258 53.3417829, -6.2502608 53.3417366)",,,,,,,
389309,2396578283,0,4925986,True,1,Fenian Street,secondary,30,False,31.749000000000002,R815,"LINESTRING (-6.2503406 53.3419272, -6.2502675 53.3419158, -6.2501938 53.3419034, -6.2500429 53.3418762, -6.2498914 53.3418322)",,,,,,,
389314,5355630055,0,4287410,True,2,Townsend Street,tertiary,30,False,23.446999999999996,,"LINESTRING (-6.2573464 53.3459015, -6.2571484 53.3458974, -6.2570256 53.3458976, -6.2569933 53.3458974)",,,,,,,
389314,3451328715,0,24953717,True,3,College Street,secondary,30,False,40.755,R138,"LINESTRING (-6.2573464 53.3459015, -6.2572963 53.3458532, -6.2572785 53.3458214, -6.2572721 53.3457912, -6.257284 53.3457487, -6.2573108 53.3457101, -6.2573757 53.3456588, -6.257516 53.3456107)",,,,,,,
389332,2376143186,0,4919462,True,2,Trinity Street,unclassified,30,False,36.962,,"LINESTRING (-6.2624409 53.344246, -6.2624121 53.344031, -6.262292 53.3439389)",,,,,,,
389332,550879544,0,304634278,False,4,College Green,secondary,30,False,39.69199999999999,R137,"LINESTRING (-6.2624409 53.344246, -6.2624127 53.3442478, -6.2621664 53.3442638, -6.2618465 53.3442846)",,,,,,,
389332,26911837,0,1032401626,False,4,Dame Street,secondary,30,True,59.777,R137,"LINESTRING (-6.2624409 53.344246, -6.2626055 53.34424, -6.2633394 53.3442105)",,,,,,,
389339,5112203424,0,"[937860532, 2294310]",True,1,Dawson Street,secondary,30,False,50.939,R138,"LINESTRING (-6.25867 53.3394661, -6.2587172 53.3394897, -6.2587387 53.3395101, -6.2587585 53.3395376, -6.2587653 53.3395685, -6.2587645 53.3395786, -6.258761 53.3396145, -6.2586759 53.3399001)",,,,,,,
389339,2893792091,0,"[4476051, 352376956]",True,2,St. Stephen's Green,unclassified,30,False,142.019,,"LINESTRING (-6.25867 53.3394661, -6.2587261 53.3394762, -6.2587912 53.3394882, -6.258901 53.3395092, -6.2589043 53.3395098, -6.2589844 53.3395239, -6.2603524 53.3398761, -6.2604318 53.3398941, -6.2605092 53.3399062, -6.2605879 53.3399098, -6.2606639 53.3399045)",,,,,,,
389344,26165089,0,10577342,False,,St. Stephen's Green,cycleway,30,True,50.684,,"LINESTRING (-6.2614665 53.339099, -6.2614683 53.3390417, -6.2616427 53.3388291, -6.2617218 53.3387351, -6.2617923 53.3386973)",,10,,,,,
389344,32233860,0,"[1117704120, 4919441, 1117704121]",True,,Glovers Alley,unclassified,30,False,105.63399999999999,,"LINESTRING (-6.2614665 53.339099, -6.2615514 53.3391027, -6.2617006 53.3391256, -6.2626478 53.3393088, -6.2627153 53.3393254, -6.262754 53.3393464, -6.262763 53.3393631, -6.2627601 53.3393939, -6.2627529 53.3394367, -6.2627585 53.3394587, -6.2627778 53.33948)",,,,,,,
389356,248735253,0,23050596,False,1,Bride Close,residential,30,False,34.556,,"LINESTRING (-6.2700802 53.3410618, -6.2695597 53.3410636)",,,,,,,
389356,389357,0,360313823,False,2,Bride Street,tertiary,30,False,54.3,,"LINESTRING (-6.2700802 53.3410618, -6.270055 53.3405737)",,,,,,,
389356,2468942562,0,360313823,False,2,Bride Street,tertiary,30,True,31.815,,"LINESTRING (-6.2700802 53.3410618, -6.2700855 53.3413479)",,,,,,,
389357,389356,0,360313823,False,2,Bride Street,tertiary,30,True,54.3,,"LINESTRING (-6.270055 53.3405737, -6.2700802 53.3410618)",,,,,,,
389357,7015262300,0,376466424,True,1,Bull Alley Street,tertiary,30,False,16.877,,"LINESTRING (-6.270055 53.3405737, -6.2703092 53.3405748)",,,,,,,
389357,248662983,0,6192247,False,2,Golden Lane,tertiary,30,False,107.893,,"LINESTRING (-6.270055 53.3405737, -6.269179 53.3405936, -6.2690085 53.3406008, -6.2688358 53.3406236, -6.2684459 53.3406788)",,,,,,,
389357,9964901732,0,369652829,False,2,Bride Street,tertiary,30,False,86.70100000000001,,"LINESTRING (-6.270055 53.3405737, -6.2700254 53.3404768, -6.2699785 53.3403613, -6.2699015 53.3401714, -6.2697958 53.3399304, -6.2697228 53.3398209)",,,,,,,
389358,248662983,0,6192247,False,2,Golden Lane,tertiary,30,True,15.134,,"LINESTRING (-6.2682261 53.3407149, -6.2684459 53.3406788)",,,,,,,
389358,666094840,0,16309916,False,2,Whitefriar Street,unclassified,30,False,40.621,,"LINESTRING (-6.2682261 53.3407149, -6.2679454 53.3403903)",,,,,,,
389358,51510562,0,6192247,False,2,Golden Lane,tertiary,30,False,50.337999999999994,,"LINESTRING (-6.2682261 53.3407149, -6.2678545 53.340779, -6.2675052 53.3408544)",,,,,,,
389360,666094848,0,16309916,False,2,Whitefriar Street,unclassified,30,True,20.164,,"LINESTRING (-6.2673728 53.3400807, -6.2673913 53.3400822, -6.2675317 53.3400832, -6.2675797 53.3400946, -6.267644 53.3401347)",,,,,,,
389360,248735108,0,52375082,False,,,service,30,False,50.583,,"LINESTRING (-6.2673728 53.3400807, -6.2673738 53.3401511, -6.2672978 53.3402918, -6.2672797 53.3403419, -6.2672352 53.3405254)",,,,,,,
389360,247416073,0,369652831,False,2,Whitefriar Street,unclassified,30,False,45.533,,"LINESTRING (-6.2673728 53.3400807, -6.2673565 53.3400747, -6.2673496 53.3400648, -6.2673 53.3397743, -6.2672261 53.3396898)",,,,,,,
389364,1415539257,0,4395627,True,3,Granby Row,secondary,30,False,48.681,R132,"LINESTRING (-6.2655305 53.3535789, -6.2656352 53.3536458, -6.2659894 53.3538773, -6.2660309 53.3538987)",,,,,,,
389364,540403070,0,128005550,True,1,Parnell Square North,tertiary,30,False,115.50999999999999,,"LINESTRING (-6.2655305 53.3535789, -6.2652287 53.3536975, -6.2645212 53.3539756, -6.2640907 53.3541621)",,,,,,,
389365,3260618602,0,151368,False,2,Parnell Square East,secondary,30,False,9.996,R132,"LINESTRING (-6.2635331 53.354535, -6.2634588 53.3544568)",,,,,,,
