start,end,distance_shortest_route,distance_green_route,pollutant_saving_p,extra_distance_p
POINT (-6.240928 53.347932),POINT (-6.252825 53.336074),1878.7930000000001,1998.2780000000002,3.7641496663827523,5.979398261903505
POINT (-6.300217 53.339005),POINT (-6.254614 53.345922),3640.8680000000018,4081.9570000000003,31.119807628167376,10.805821815369406
POINT (-6.29706 53.343897),POINT (-6.268044 53.330091),3275.784999999999,4463.507,18.326055607287778,26.609614368253503
POINT (-6.281637 53.3488),POINT (-6.266802 53.344007),1445.8609999999999,1451.626,2.0613523248157106,0.3971408613513467
POINT (-6.26298 53.336021),POINT (-6.267699 53.337757),769.166,769.166,0.0,0.0
POINT (-6.254662 53.348279),POINT (-6.267732 53.340803),1584.0439999999999,2445.0530000000003,12.422294015378794,35.21432868735362
POINT (-6.264423 53.355473),POINT (-6.297804 53.346985),2948.7049999999995,3080.426999999999,12.515708001258012,4.276095489359098
POINT (-6.29719 53.341645),POINT (-6.251557 53.357841),4264.242999999998,5079.852,20.694580191838774,16.05576304191544
POINT (-6.278424 53.355173),POINT (-6.30395 53.338776),3527.5469999999996,4311.275,20.893184204739043,18.178566665313628
POINT (-6.256359 53.356717),POINT (-6.260311 53.349013),1274.916,1537.628,24.99161494930273,17.085536943916214
