start,end,distance_shortest_route,distance_green_route,pollutant_saving_p,extra_distance_p
POINT (-6.24206507984085 53.35573691810523),POINT (-6.3073840540068 53.35193057593034),5786.121,6165.37,26.013178915916065,6.151277214506182
POINT (-6.251075507847084 53.33941705508521),POINT (-6.234068437150212 53.35101528333389),2529.424,2591.196,12.733790292252321,2.3839184685373063
POINT (-6.287226004133338 53.334783597995454),POINT (-6.273970202840759 53.331693181097876),1792.283,2320.8259999999996,9.766590179183934,22.773917562109343
POINT (-6.2671325304298575 53.35653660750884),POINT (-6.279025793507723 53.34803974492798),1642.1040000000003,1691.4070000000004,7.698140831612916,2.9149104857671806
POINT (-6.271758987583862 53.33355423197581),POINT (-6.284350663405175 53.33116295690013),1036.515,1566.413,16.020506276260942,33.828753974845704
POINT (-6.262900441170031 53.350518113087944),POINT (-6.274589778397838 53.33638434476978),2289.003,2664.4210000000003,17.448768339802157,14.090040575419577
POINT (-6.2730992736495494 53.33904560400867),POINT (-6.254341117600177 53.331818126884166),1877.733,2443.0919999999996,18.904719884724894,23.141126081211834
POINT (-6.239599942100036 53.34176102042439),POINT (-6.246770547709012 53.34143519613058),721.322,737.6919999999999,4.9697217189283664,2.2190833030587145
POINT (-6.279579359422931 53.35055579985979),POINT (-6.277850530992813 53.34887320854181),846.1780000000001,846.1780000000001,0.0,0.0
POINT (-6.292581741395168 53.352348884332585),POINT (-6.243548296526213 53.346232250606604),4073.473,4097.553,24.89798825945634,0.5876678105200818
POINT (-6.301091419014115 53.35798191410878),POINT (-6.290402876308669 53.35365152454418),991.2270000000001,1035.6040000000003,0.7503365786265629,4.285132154761875
POINT (-6.293944855582746 53.35400035739064),POINT (-6.293647621507135 53.35393719853435),208.196,208.196,0.0,0.0
POINT (-6.307411399195255 53.33650738493071),POINT (-6.27170472360607 53.33457416438447),3669.7850000000008,3810.1460000000006,12.695681605117407,3.6838745811840243
POINT (-6.2786668152528105 53.34873737277106),POINT (-6.288224862471802 53.35768979393686),1420.8590000000002,1632.1220000000003,5.278446192658338,12.944069132086947
POINT (-6.2784958895262415 53.35221131293713),POINT (-6.259610853114256 53.34076380659595),2625.7860000000005,2825.5159999999996,6.8440086257929815,7.068797345334415
POINT (-6.252275488247279 53.348305830020536),POINT (-6.28193399467054 53.33390100828684),3209.5629999999996,3290.4289999999996,18.885664588010464,2.457612669958841
POINT (-6.234698350515209 53.339607874788925),POINT (-6.2463514097960555 53.33812631904715),1229.269,1229.269,0.0,0.0
POINT (-6.237644742070103 53.33708001415231),POINT (-6.297379852454082 53.35749748901745),5801.929000000001,7287.370000000002,24.17889305151706,20.383773569888728
POINT (-6.266270805361272 53.33846500492546),POINT (-6.308792680073877 53.33638353111957),3466.341,3980.186999999999,17.577716256282876,12.910096937656428
POINT (-6.281126501559692 53.33141697516769),POINT (-6.287276515751383 53.34662352842058),3243.55,3284.898,3.572414459718395,1.2587301036440082
POINT (-6.237291629401703 53.35945516000928),POINT (-6.299340509903045 53.349299487426435),6620.879999999999,6958.898999999999,24.463565333737485,4.857363212197796
POINT (-6.277642127485695 53.34666671501348),POINT (-6.296554820038051 53.35178703091966),2325.102,2795.881999999999,18.679246681581237,16.83833580959423
POINT (-6.234086983551855 53.333836453074454),POINT (-6.290584590388543 53.335531411876275),4556.729,5643.649,24.707921776796738,19.259170795348894
POINT (-6.254110523649378 53.33755246756974),POINT (-6.29997875919066 53.3397045113425),3882.640999999999,4160.235,8.20371221869286,6.672555757066621
POINT (-6.2452466145869225 53.349464754382716),POINT (-6.302891186334286 53.34258819179858),4761.268000000004,4886.635000000001,13.56345446337013,2.5655077573830956
POINT (-6.272215785351636 53.342854434591054),POINT (-6.2468579837870495 53.3485457463059),2732.544999999999,2752.8559999999998,1.129624898306722,0.7378155631824043
POINT (-6.2625311681608675 53.35492877369283),POINT (-6.2417253216464115 53.358256648477514),1751.6759999999997,1855.6899999999996,19.867717262400895,5.605138789345199
POINT (-6.265248240853837 53.34686598676513),POINT (-6.271679560063708 53.336681318941416),1560.1250000000002,1820.4330000000002,22.670771029922555,14.2992354016874
POINT (-6.243861188173902 53.33190245334805),POINT (-6.301482437734458 53.33925072535913),4504.308000000003,5274.626000000001,53.26224775550817,14.604220280262492
POINT (-6.240053331873838 53.3400390823515),POINT (-6.242341883924205 53.33181397415048),1285.89,1295.056,14.279476888693363,0.7077686215885598
POINT (-6.278886286367001 53.34668137415994),POINT (-6.278881703471081 53.33515484716116),2004.0890000000004,2202.638,28.29247315891829,9.014145765214234
POINT (-6.3060510112915065 53.33448498661729),POINT (-6.2657302408427 53.35440952178284),4869.420000000002,5864.712,25.256505440334887,16.970858927087953
POINT (-6.253350627329557 53.33120323582814),POINT (-6.291913000102983 53.34246777330463),3574.3699999999994,4515.7699999999995,19.39841066709044,20.8469430462579
POINT (-6.248513663289267 53.353738391776815),POINT (-6.290441686166236 53.35939763989931),4246.945999999999,4698.506999999999,13.625995908031017,9.610733792670732
POINT (-6.255836764305163 53.33978574437337),POINT (-6.246229487367363 53.34069505281407),891.5450000000002,1004.058,53.49876440640317,11.205826755028077
POINT (-6.267833548064318 53.33932641963075),POINT (-6.288346686580591 53.33186882456366),2130.441,2281.626,21.197588980970522,6.626195528978036
POINT (-6.2695503677758015 53.34581278504298),POINT (-6.268343102273688 53.33261192359993),1797.058,2078.704,28.95031847816241,13.549115217943497
POINT (-6.281204037899301 53.33722985684895),POINT (-6.231829907402746 53.334600279259725),4057.3379999999997,4901.589000000002,52.41285175122712,17.224026739084035
POINT (-6.301319920936167 53.35300800901946),POINT (-6.294043992823573 53.35734507633277),1066.7310000000002,1066.7310000000002,0.0,0.0
POINT (-6.234897619101909 53.33239245386226),POINT (-6.251613697148673 53.33387276694822),1266.9530000000002,1578.6250000000002,5.430201939196738,19.743257581756275
POINT (-6.268046673001488 53.34230166957882),POINT (-6.246834962265608 53.34516063196571),1719.1079999999997,2129.114,28.160586890966464,19.257118219127786
POINT (-6.308225704322885 53.33944253624884),POINT (-6.2610328001104625 53.351238071834224),4576.46,5405.763,37.22341260085627,15.341090610150683
POINT (-6.259569537846251 53.340911241669176),POINT (-6.2356985257423085 53.34048296468498),2125.879,2536.2220000000007,23.365354977425906,16.179301338762958
POINT (-6.231566244169272 53.35515856933668),POINT (-6.3030979535797425 53.334938711721335),6848.754,8485.568,22.121533397598682,19.289386402890173
POINT (-6.242664346572331 53.35112343506732),POINT (-6.264659122948189 53.35730440780474),2119.2830000000004,2744.796,25.349866454062138,22.789052446884924
POINT (-6.267500497204119 53.34144961000444),POINT (-6.286528742663304 53.33957628272693),1734.6740000000002,1929.3550000000002,2.1206203634264926,10.090470649517586
POINT (-6.300363459062486 53.352495936982756),POINT (-6.243432242708032 53.35720943473105),4729.796999999998,5617.215,29.516875240976407,15.79818468760769
POINT (-6.283492201820173 53.341603852228),POINT (-6.272561118506443 53.338877320934536),1114.838,1219.1959999999997,15.592103909965852,8.559575326690684
POINT (-6.236827942885706 53.34727923863602),POINT (-6.238055879939952 53.331309824500096),2537.5429999999997,2841.817999999999,32.286093223141286,10.707054427834553
POINT (-6.243416853312892 53.332905765507796),POINT (-6.2618403766367505 53.34463803876282),2440.963999999999,2887.0529999999994,27.91238753117655,15.45136164801964
POINT (-6.26978706207527 53.33528022434946),POINT (-6.270080439164575 53.341074710374514),1338.6729999999998,1338.6729999999998,0.0,0.0
POINT (-6.299113274420916 53.342196465697064),POINT (-6.299532495477604 53.359344702520815),3105.4959999999996,3382.3489999999997,12.46356992254859,8.185228668005582
POINT (-6.234276271286787 53.34805941017902),POINT (-6.261863253845656 53.35804306385067),2668.506,3785.2930000000006,31.224015025520355,29.503317180466624
POINT (-6.274757626205498 53.33594324141892),POINT (-6.280583841488534 53.33604022188603),625.8589999999999,625.8589999999999,0.0,0.0
POINT (-6.280997677378267 53.340776599006745),POINT (-6.26828966582978 53.34070445993424),1334.256,1465.099,17.81466030007132,8.93065929333102
POINT (-6.309674691869048 53.34000738582318),POINT (-6.290739747075284 53.35336862459957),2905.576999999999,2999.490999999999,3.8347870100827683,3.1309978926424598
POINT (-6.2671693536822355 53.341780407554445),POINT (-6.251201518651935 53.34570841931877),1480.522,1941.077,16.85682917353853,23.726776423604015
POINT (-6.24875508159152 53.34814160761119),POINT (-6.243372788540402 53.340050534640056),1595.3289999999997,1774.658,43.43900599808602,10.104989242997815
POINT (-6.276361685235027 53.34861486398951),POINT (-6.244684682563214 53.35982430308591),2950.9160000000006,3104.335,13.771919815109433,4.942089046446322
POINT (-6.295249755522741 53.3491741379347),POINT (-6.305531832258863 53.34181359758066),1844.4329999999998,3090.817,10.233334878421688,40.32538969469885
POINT (-6.285285678099715 53.34719959516632),POINT (-6.2726578140601825 53.33323764178093),2338.985,3257.4240000000013,22.78020323597194,28.19525490080508
POINT (-6.283818950802672 53.34273892436214),POINT (-6.263137769167613 53.35937506965573),2828.9370000000004,3892.768000000001,19.307037731411064,27.328394602503934
POINT (-6.2416453576757895 53.354171577080855),POINT (-6.279758786128383 53.332301728763966),4568.588000000001,6369.2029999999995,18.70188290701137,28.270648619615343
POINT (-6.24038135083513 53.35532828559314),POINT (-6.299448622216908 53.343449768722074),5548.2210000000005,5877.088,19.53056745435179,5.595747417768787
POINT (-6.256656542388315 53.33135693336347),POINT (-6.272283710211866 53.3400332717382),1908.955,2109.1140000000005,28.80933177241472,9.490193512536568
POINT (-6.265254898918904 53.35709515671293),POINT (-6.283981735870584 53.3556815750482),3032.123,3081.426,5.0179649424566275,1.600005971261354
POINT (-6.24355026215753 53.33968450554038),POINT (-6.239674172752115 53.353948543799355),2709.0240000000013,2744.728,15.458436486353815,1.3008210649652283
POINT (-6.249000702429428 53.34450509653632),POINT (-6.295984028756866 53.35128491034335),3737.7419999999997,4398.236,13.529315065716556,15.01724782390031
POINT (-6.273439652612161 53.357937088139494),POINT (-6.285010152356153 53.349734191282394),1899.8429999999998,1945.483,4.866605496484248,2.3459469961958086
POINT (-6.233364443859794 53.344790188713255),POINT (-6.263095965137061 53.343038352962395),2574.8619999999996,2685.803,19.82516709137306,4.130645471763947
POINT (-6.236004859824477 53.345238122152246),POINT (-6.259750290828611 53.34452602153767),1945.7359999999996,2261.0209999999997,22.96823625948251,13.944364072691059
POINT (-6.289221283435169 53.335740913215176),POINT (-6.237263756147729 53.356159509811725),5123.709999999999,6097.398999999999,17.666434489865235,15.968923798491788
POINT (-6.277616656511275 53.35258641472311),POINT (-6.23987769002856 53.34609649375847),3637.727000000001,3841.422,5.075751177801512,5.302593674946382
POINT (-6.236006731628497 53.34492972896291),POINT (-6.257853537980009 53.350196884203655),2011.6419999999996,2200.845,1.89145616689462,8.596834397697258
POINT (-6.233919657086545 53.33668449341227),POINT (-6.2578176714316 53.342850484387355),2646.7739999999985,3114.5350000000008,33.33175142932413,15.018646443209086
POINT (-6.297209842433638 53.34158498234027),POINT (-6.245474714427409 53.33447504794355),4189.052,4952.348000000001,38.48762583025485,15.412810246775894
POINT (-6.28945470069932 53.34958279509815),POINT (-6.28550351894208 53.343866896095214),1111.778,1111.778,0.0,0.0
POINT (-6.28484027117647 53.344376245404995),POINT (-6.277228836095342 53.33885877903302),1016.717,1016.717,0.0,0.0
POINT (-6.292138430029909 53.335352731857085),POINT (-6.302442275369871 53.33240689724229),1364.914,1753.655,26.07501372774162,22.167473077657807
POINT (-6.254339586351927 53.35511087757052),POINT (-6.255646496316387 53.34749668230362),1848.1409999999998,2351.0530000000003,2.5259263573352557,21.390925683087552
POINT (-6.246949891376245 53.35445629246737),POINT (-6.2985770380586095 53.34140904085393),4271.835000000002,4733.717000000003,10.934990700594987,9.757279533187157
POINT (-6.2641979731583515 53.33075120005775),POINT (-6.264434852513874 53.34364696826041),1488.4869999999999,1488.4869999999999,0.0,0.0
POINT (-6.306656624850912 53.35397217754402),POINT (-6.290505245113255 53.333010343540614),4441.466,4473.865,14.811131873645031,0.7241836756361543
POINT (-6.2655039371258034 53.35356015473433),POINT (-6.255527965147775 53.35054768807265),1349.398,1478.046,1.493275070523401,8.703923964477434
POINT (-6.2434528635145625 53.35028467950049),POINT (-6.2370006069740045 53.33725079671231),2289.617,2639.861000000001,28.282153776226398,13.267516736676685
POINT (-6.27814997155334 53.355433103054),POINT (-6.288010692310538 53.34870967747693),1387.1539999999998,1483.4229999999998,7.249506831304395,6.4896526479635295
POINT (-6.294585192482167 53.341062888746634),POINT (-6.251146330112029 53.35127917952393),3827.8389999999995,4324.221999999999,16.939218558441095,11.479128499878117
